radius,pressure,mass,density,energy
1.78794000e+03,5.03317326e+33,1.26534279e+28,4.93491414e+17,5.82806292e+15
1.80180000e+03,5.03033035e+33,1.29482239e+28,4.93390035e+17,5.82596786e+15
1.81566000e+03,5.02746646e+33,1.32475220e+28,4.93287871e+17,5.82385690e+15
1.82952000e+03,5.02458159e+33,1.35513548e+28,4.93184922e+17,5.82173005e+15
1.84338000e+03,5.02167578e+33,1.38597545e+28,4.93081187e+17,5.81958731e+15
1.85724000e+03,5.01874905e+33,1.41727538e+28,4.92976667e+17,5.81742868e+15
1.87110000e+03,5.01580142e+33,1.44903850e+28,4.92871361e+17,5.81525418e+15
1.88496000e+03,5.01283292e+33,1.48126804e+28,4.92765270e+17,5.81306380e+15
1.89882000e+03,5.00984356e+33,1.51396722e+28,4.92658393e+17,5.81085756e+15
1.91268000e+03,5.00683337e+33,1.54713928e+28,4.92550730e+17,5.80863547e+15
1.92654000e+03,5.00380237e+33,1.58078743e+28,4.92442281e+17,5.80639752e+15
1.94040000e+03,5.00075059e+33,1.61491488e+28,4.92333047e+17,5.80414373e+15
1.95426000e+03,4.99767805e+33,1.64952483e+28,4.92223026e+17,5.80187410e+15
1.96812000e+03,4.99458477e+33,1.68462050e+28,4.92112220e+17,5.79958865e+15
1.98198000e+03,4.99147079e+33,1.72020508e+28,4.92000627e+17,5.79728737e+15
1.99584000e+03,4.98833611e+33,1.75628176e+28,4.91888248e+17,5.79497027e+15
2.00970000e+03,4.98518077e+33,1.79285373e+28,4.91775084e+17,5.79263737e+15
2.02356000e+03,4.98200479e+33,1.82992416e+28,4.91661132e+17,5.79028866e+15
2.03742000e+03,4.97880820e+33,1.86749624e+28,4.91546395e+17,5.78792416e+15
2.05128000e+03,4.97559101e+33,1.90557314e+28,4.91430871e+17,5.78554387e+15
2.06514000e+03,4.97235326e+33,1.94415802e+28,4.91314561e+17,5.78314780e+15
2.07900000e+03,4.96909497e+33,1.98325403e+28,4.91197464e+17,5.78073596e+15
2.09286000e+03,4.96581617e+33,2.02286434e+28,4.91079580e+17,5.77830835e+15
2.10672000e+03,4.96251687e+33,2.06299210e+28,4.90960910e+17,5.77586498e+15
2.12058000e+03,4.95919712e+33,2.10364043e+28,4.90841453e+17,5.77340586e+15
2.13444000e+03,4.95585692e+33,2.14481250e+28,4.90721210e+17,5.77093100e+15
2.14830000e+03,4.95249631e+33,2.18651142e+28,4.90600179e+17,5.76844040e+15
2.16216000e+03,4.94911532e+33,2.22874032e+28,4.90478362e+17,5.76593407e+15
2.17602000e+03,4.94571396e+33,2.27150232e+28,4.90355757e+17,5.76341202e+15
2.18988000e+03,4.94229228e+33,2.31480054e+28,4.90232366e+17,5.76087426e+15
2.20374000e+03,4.93885028e+33,2.35863809e+28,4.90108187e+17,5.75832079e+15
2.21760000e+03,4.93538801e+33,2.40301806e+28,4.89983221e+17,5.75575162e+15
2.23146000e+03,4.93190548e+33,2.44794357e+28,4.89857468e+17,5.75316676e+15
2.24532000e+03,4.92840272e+33,2.49341769e+28,4.89730927e+17,5.75056623e+15
2.25918000e+03,4.92487977e+33,2.53944351e+28,4.89603599e+17,5.74795001e+15
2.27304000e+03,4.92133664e+33,2.58602412e+28,4.89475483e+17,5.74531813e+15
2.28690000e+03,4.91777337e+33,2.63316258e+28,4.89346580e+17,5.74267059e+15
2.30076000e+03,4.91418999e+33,2.68086197e+28,4.89216889e+17,5.74000740e+15
2.31462000e+03,4.91058651e+33,2.72912534e+28,4.89086410e+17,5.73732857e+15
2.32848000e+03,4.90696297e+33,2.77795575e+28,4.88955143e+17,5.73463411e+15
2.34234000e+03,4.90331940e+33,2.82735626e+28,4.88823089e+17,5.73192401e+15
2.35620000e+03,4.89965583e+33,2.87732989e+28,4.88690246e+17,5.72919830e+15
2.37006000e+03,4.89597228e+33,2.92787970e+28,4.88556616e+17,5.72645698e+15
2.38392000e+03,4.89226878e+33,2.97900870e+28,4.88422197e+17,5.72370006e+15
2.39778000e+03,4.88854537e+33,3.03071993e+28,4.88286990e+17,5.72092755e+15
2.41164000e+03,4.88480206e+33,3.08301640e+28,4.88150995e+17,5.71813945e+15
2.42550000e+03,4.88103889e+33,3.13590113e+28,4.88014211e+17,5.71533578e+15
2.43936000e+03,4.87725590e+33,3.18937711e+28,4.87876639e+17,5.71251654e+15
2.45322000e+03,4.87345310e+33,3.24344735e+28,4.87738278e+17,5.70968174e+15
2.46708000e+03,4.86963053e+33,3.29811484e+28,4.87599129e+17,5.70683139e+15
2.48094000e+03,4.86578821e+33,3.35338257e+28,4.87459191e+17,5.70396550e+15
2.49480000e+03,4.86192619e+33,3.40925351e+28,4.87318464e+17,5.70108408e+15
2.50866000e+03,4.85804448e+33,3.46573063e+28,4.87176948e+17,5.69818713e+15
2.52252000e+03,4.85414312e+33,3.52281691e+28,4.87034643e+17,5.69527467e+15
2.53638000e+03,4.85022213e+33,3.58051530e+28,4.86891549e+17,5.69234671e+15
2.55024000e+03,4.84628156e+33,3.63882876e+28,4.86747666e+17,5.68940324e+15
2.56410000e+03,4.84232143e+33,3.69776023e+28,4.86602994e+17,5.68644429e+15
